epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1500.74,0.87007,0.76688,1.27703,0.80539,0.69686,0.74011,0.48971,1.47826,1.36761,2.11518,0.000891345,0.000891345,0.000891345
96,1515.34,0.87466,0.75319,1.29246,0.75401,0.73099,0.74977,0.52393,1.42465,1.23239,2.06758,0.000883093,0.000883093,0.000883093
97,1529.89,0.8628,0.76884,1.28025,0.75609,0.7032,0.74844,0.52079,1.37988,1.22777,1.99413,0.000874842,0.000874842,0.000874842
98,1544.68,0.8551,0.75856,1.27162,0.78456,0.698,0.73419,0.50639,1.39618,1.31905,2.03293,0.00086659,0.00086659,0.00086659
99,1559.59,0.8418,0.74504,1.25899,0.87209,0.70608,0.77108,0.51915,1.4212,1.17164,2.03095,0.000858338,0.000858338,0.000858338
100,1575.45,0.87129,0.74699,1.26849,0.82584,0.67773,0.75871,0.51133,1.52966,1.25839,2.17075,0.000850087,0.000850087,0.000850087
101,1590.45,0.85394,0.73134,1.27088,0.7951,0.68995,0.75804,0.51684,1.4659,1.38019,2.14382,0.000841835,0.000841835,0.000841835
102,1605.44,0.8486,0.74189,1.2622,0.77907,0.66045,0.68404,0.45772,1.56193,1.52526,2.25014,0.000833583,0.000833583,0.000833583
103,1620.56,0.825,0.7049,1.24541,0.83565,0.71785,0.76779,0.51634,1.48143,1.22455,2.13419,0.000825332,0.000825332,0.000825332
104,1635.27,0.86248,0.7154,1.28394,0.81909,0.71545,0.76536,0.51433,1.48876,1.23175,2.14424,0.00081708,0.00081708,0.00081708
105,1650.21,0.83271,0.73287,1.23842,0.8121,0.7242,0.743,0.50083,1.50181,1.20711,2.18388,0.000808828,0.000808828,0.000808828
106,1664.77,0.86069,0.72851,1.2666,0.83486,0.72379,0.73849,0.5091,1.45845,1.20518,2.13064,0.000800577,0.000800577,0.000800577
107,1679.77,0.82325,0.69156,1.23245,0.82763,0.76387,0.76737,0.52335,1.38324,1.16464,2.04587,0.000792325,0.000792325,0.000792325
108,1694.86,0.83646,0.6907,1.24884,0.78245,0.73546,0.76599,0.51364,1.44565,1.17276,2.13111,0.000784073,0.000784073,0.000784073
109,1709.22,0.85025,0.69034,1.26894,0.80248,0.72653,0.75957,0.51348,1.44408,1.13026,2.09884,0.000775822,0.000775822,0.000775822
110,1723.79,0.84672,0.71858,1.26562,0.81068,0.72206,0.76752,0.54481,1.37525,1.16397,1.98732,0.00076757,0.00076757,0.00076757
111,1738.44,0.80465,0.67506,1.235,0.7883,0.74413,0.75996,0.5242,1.48173,1.19249,2.12561,0.000759318,0.000759318,0.000759318
112,1753.48,0.80494,0.68834,1.23393,0.80988,0.70867,0.75285,0.51951,1.47233,1.23089,2.13022,0.000751067,0.000751067,0.000751067
113,1767.81,0.80691,0.69057,1.21798,0.77472,0.75691,0.7695,0.53992,1.43289,1.16082,2.09585,0.000742815,0.000742815,0.000742815
114,1782.79,0.78705,0.66785,1.22314,0.81979,0.75605,0.76605,0.53718,1.40207,1.1872,2.06254,0.000734564,0.000734564,0.000734564
